,00display cabinet,01bathtub,02bed,03oven and stove,04toilet,05bathroom cabinet,06bed,07towel,08oven and stove,09box,10display cabinet,11towel,12cabinet,13washing machine,14wardrobe,15bathroom towel,16bed,17washing machine,18bathroom towel,19table
img0058,0.6935436129570007,0.07924231141805649,0.38197970390319824,0.7536583542823792,0.4545588791370392,0.7108105421066284,0.33895623683929443,0.5766259431838989,0.4069872200489044,0.4779015779495239,0.05062325298786163,0.8550328612327576,0.5961244106292725,0.6693041920661926,0.6876479387283325,0.4388664662837982,0.6426728367805481,0.6972770094871521,0.4388662278652191,0.43484193086624146
img0059,0.6903262138366699,0.5509496927261353,0.3336338698863983,0.5585532188415527,0.5839587450027466,0.7376881837844849,0.29104283452033997,0.6599097847938538,0.48556482791900635,0.4956902861595154,0.6845420598983765,0.7324004769325256,0.48747316002845764,0.5763227939605713,0.5808690190315247,0.6340007185935974,0.3611307144165039,0.6224088668823242,0.6340007185935974,0.39452219009399414
img0060,0.6683707237243652,0.5158707499504089,0.32577380537986755,0.5476317405700684,0.5298207402229309,0.6882385611534119,0.3161678612232208,0.6087696552276611,0.4858844578266144,0.06667619943618774,0.7602161169052124,0.8297204971313477,0.6667706966400146,0.7561918497085571,0.6697673797607422,0.49787938594818115,0.6787704825401306,0.786021888256073,0.4978797137737274,0.4640559256076813
img0061,0.2853236496448517,0.49955835938453674,0.594416618347168,0.4608704447746277,0.3951833248138428,0.6501593589782715,0.4262177050113678,0.5979202389717102,0.4592360854148865,0.5923479795455933,0.7438006401062012,0.6482272744178772,0.5252417325973511,0.4554319679737091,0.32279467582702637,0.23577110469341278,0.3267797529697418,0.6117717623710632,0.7285539507865906,0.37881284952163696
img0062,0.6292700171470642,0.4880790412425995,0.44712838530540466,0.5032070875167847,0.5240626335144043,0.7323434948921204,0.03325445204973221,0.4266887605190277,0.1625586301088333,0.24456365406513214,0.7953319549560547,0.7001489996910095,0.5967828035354614,0.5544845461845398,0.5876955986022949,0.546667218208313,0.47155216336250305,0.36245831847190857,0.09848669171333313,0.06324063241481781
img0063,0.3829071521759033,0.48600345849990845,0.49009624123573303,0.5392807126045227,0.5307433605194092,0.7634655237197876,0.3006960153579712,0.6513662338256836,0.4283689558506012,0.4477786719799042,0.7710707187652588,0.7198163866996765,0.6303943991661072,0.5448544025421143,0.5904499292373657,0.5153738260269165,0.5174438953399658,0.5681941509246826,0.5153738260269165,0.41976839303970337
img0064,0.6521919965744019,0.7233617305755615,0.30509185791015625,0.8429968953132629,0.5830487012863159,0.9467025399208069,0.655930757522583,0.7205009460449219,0.5142630338668823,0.44660770893096924,0.9303578734397888,0.9366999268531799,0.15257960557937622,0.5429927706718445,0.5938646793365479,0.5331146121025085,0.5070675611495972,0.5832424163818359,0.5331146121025085,0.40920495986938477
img0065,0.664394736289978,0.5259243249893188,0.4800020456314087,0.507156252861023,0.5673629641532898,0.8121110200881958,0.30864930152893066,0.6776861548423767,0.404318630695343,0.45312055945396423,0.7609074115753174,0.7479915022850037,0.6064571142196655,0.1609748899936676,0.773725152015686,0.5377320647239685,0.6286779046058655,0.555857241153717,0.5313542485237122,0.43538352847099304
img0066,0.5762525200843811,0.5659286379814148,0.4617903232574463,0.5248710513114929,0.6399780511856079,0.7904956936836243,0.35671544075012207,0.7176252007484436,0.4415537416934967,0.47889605164527893,0.7642831802368164,0.7222769856452942,0.5526554584503174,0.5728313326835632,0.5636563897132874,0.5743935108184814,0.4942089915275574,0.6284247636795044,0.5743935108184814,0.42537739872932434
img0067,0.664394736289978,0.1402302086353302,0.3727497160434723,0.8319501280784607,0.536601722240448,0.8121110200881958,0.30864930152893066,0.6776861548423767,0.404318630695343,0.45312055945396423,0.7609074115753174,0.3446921408176422,0.6938047409057617,0.7675537467002869,0.7737249135971069,0.5377333760261536,0.6286755204200745,0.7967484593391418,0.5377327799797058,0.5361067652702332
img0068,0.6047683358192444,0.7486690878868103,0.5613391995429993,0.5405177474021912,0.5401801466941833,0.8173716068267822,0.2868640720844269,0.7259117960929871,0.43023979663848877,0.46465110778808594,0.866945743560791,0.8860665559768677,0.7035319209098816,0.7003239989280701,0.7507736682891846,0.5194167494773865,0.6798146367073059,0.7306826114654541,0.5194167494773865,0.5325950384140015
img0069,0.566400945186615,0.6540880799293518,0.21788838505744934,0.703246533870697,0.5942791700363159,0.7740127444267273,0.3854522407054901,0.681536853313446,0.450472891330719,0.5007128119468689,0.7610544562339783,0.6905604600906372,0.5358495116233826,0.5789989829063416,0.549623429775238,0.5270987153053284,0.4822014272212982,0.5381835699081421,0.015565499663352966,0.41642746329307556
img0070,0.6040900945663452,0.4918819069862366,0.4072415828704834,0.4737032949924469,0.6096703410148621,0.7606034278869629,0.3649854362010956,0.6522321701049805,0.4047214984893799,0.5055760145187378,0.7743232250213623,0.6678641438484192,0.5633971691131592,0.5678547024726868,0.5685182213783264,0.1353457123041153,0.6532193422317505,0.41109102964401245,0.570514976978302,0.4148608446121216
img0071,0.5989696383476257,0.4644642472267151,0.562073290348053,0.5420076251029968,0.5277084112167358,0.08263591676950455,0.6844266057014465,0.6094341278076172,0.2820661664009094,0.5001797676086426,0.7284234166145325,0.6293862462043762,0.6248058676719666,0.5466522574424744,0.62513667345047,0.5049747824668884,0.5930622816085815,0.5826148390769958,0.25321313738822937,0.24826742708683014
img0072,0.6219806671142578,0.10465186089277267,0.5979530811309814,0.5256982445716858,0.5264168977737427,0.6950874328613281,0.07762961834669113,0.7044312953948975,0.5147677063941956,0.4344862401485443,0.7718076705932617,0.6057834029197693,0.6673922538757324,0.5227175951004028,0.5783597230911255,0.509036660194397,0.6299982666969299,0.5831968188285828,0.549910843372345,0.5557124018669128
img0073,0.5363960862159729,0.08816633373498917,0.5545573830604553,0.5109182000160217,0.543020486831665,0.6955124139785767,0.35107511281967163,0.6140897870063782,0.43365833163261414,0.49964332580566406,0.7359564304351807,0.6249775290489197,0.6164818406105042,0.5248788595199585,0.5979238748550415,0.5441669225692749,0.5797889232635498,0.5867196321487427,0.5441669225692749,0.47520193457603455
